# n ksql sqlbox sqlite3
500 0.07425 0.0363928 0.015 0.0154919 0 0
1000 0.1475 0.0507814 0.03175 0.0211999 0.00575 0.00494343
2000 0.28925 0.06646 0.08375 0.0605263 0.01 -nan
4000 0.5955 0.0850279 0.15525 0.0999747 0.024 0.0164012
8000 1.12125 0.128961 0.29125 0.152941 0.05425 0.0264469
16000 2.2655 0.176465 0.5165 0.155604 0.09525 0.0164298
