# n ksql sqlbox sqlite3
500 0.076 0.018 0.026 0.00489898 0 0
1000 0.195 0.0966695 0.031 0.003 0.01 2.32831e-10
2000 0.412 0.137971 0.209 0.101926 0.019 0.003
4000 0.823 0.161124 0.33 0.201842 0.039 0.0122066
8000 1.411 0.128176 0.546 0.267066 0.103 0.0704344
16000 3.16 0.302093 1.069 0.393763 0.17 0.0466905
